Name,Professor_ID,Difficulty,Clarity,Grade
Michael Blackburn, 31, 3, 4, 1
Mike Livingston, 24, 1, 2, 3
William Carson, 31, 2, 1, 4
Wendy Shea, 44, 4, 4, 4
Carol Bradshaw, 34, 2, 5, 5
Brian Schultz, 17, 2, 2, 4
Scott Scott, 46, 5, 5, 2
Randy Daniel, 23, 3, 4, 1
Kim Walker, 42, 1, 3, 1
Sarah Evans PhD, 23, 5, 4, 2
Richard Glass, 15, 3, 3, 3
Laura Richmond, 36, 2, 2, 2
Isabel Smith, 35, 1, 1, 4
Peter Cook, 37, 3, 3, 1
Katrina Lopez, 48, 3, 2, 1
Louis Murphy, 50, 1, 1, 3
Antonio Bullock, 35, 3, 1, 1
Jessica Summers, 28, 5, 4, 3
Louis Berry, 9, 4, 4, 5
Zachary Taylor, 5, 1, 5, 2
Bradley Moore, 1, 1, 5, 1
John Romero, 26, 3, 3, 1
Richard Davenport, 26, 1, 4, 1
Kathleen Rivera, 14, 2, 1, 2
Tara Lane, 47, 3, 3, 2
Tammy Griffin, 38, 1, 4, 4
Jose Cummings, 33, 5, 5, 2
Bianca Allen, 3, 3, 1, 2
Angela Martin, 27, 3, 5, 1
Daniel Bond, 17, 1, 5, 2
Stephanie Smith, 34, 4, 2, 1
Rodney Foster, 13, 4, 1, 1
Diana Warren, 21, 5, 3, 3
Tiffany Rivera, 48, 5, 4, 1
Scott Oliver, 32, 1, 4, 3
Jenny Rogers, 9, 1, 3, 4
Tracy Peterson, 37, 4, 2, 1
Tony Nelson, 11, 4, 3, 4
Tony Gutierrez, 35, 1, 5, 1
Barbara Baker, 30, 5, 3, 5
Sherri Kim, 46, 3, 1, 3
Laura Taylor, 1, 4, 5, 1
Kaitlin Anderson, 48, 1, 2, 1
Emily Anderson DDS, 21, 5, 2, 3
Mr. Thomas Brown, 16, 4, 4, 5
Corey Hernandez, 37, 2, 4, 5
Derek Romero, 16, 3, 1, 3
Kimberly Morgan, 12, 5, 1, 1
David Orr, 29, 2, 3, 2
Alicia Pruitt, 5, 2, 2, 5
Brian Raymond, 43, 2, 4, 4
Emily Potts, 47, 1, 1, 2
Stephen Ramirez, 31, 1, 1, 4
David Ellis, 3, 2, 4, 1
Gregory Rodriguez, 20, 3, 5, 2
Christopher Miller, 33, 3, 5, 3
Daniel Jones, 18, 4, 5, 5
Katie Shepard, 25, 4, 4, 2
Daniel Castillo, 15, 4, 5, 5
Sarah Edwards, 20, 3, 2, 4
Kaitlyn Dillon, 44, 4, 1, 1
Heidi Green, 8, 5, 4, 4
John Hall, 3, 3, 5, 3
Mary Dixon, 26, 5, 1, 5
David Singleton Jr., 13, 1, 5, 3
Juan Castillo, 31, 3, 3, 4
Matthew Wilson, 32, 1, 3, 3
Stephen Ramirez, 42, 3, 4, 5
Shawn Bailey DVM, 43, 3, 4, 1
Stephanie Whitaker, 15, 1, 3, 5
Penny Robinson, 38, 2, 1, 2
Denise Cook, 19, 5, 2, 1
Stephanie Byrd, 28, 1, 1, 3
Brandon Smith, 5, 5, 4, 3
David Harmon, 4, 2, 4, 5
Kyle Lopez, 10, 5, 1, 4
Joel Pratt, 16, 1, 3, 3
Isaiah Stone II, 7, 1, 5, 1
Pamela Allen, 37, 2, 4, 1
Michael Scott, 17, 3, 1, 5
Scott Richard, 8, 1, 3, 4
Jennifer Goodwin, 1, 2, 3, 5
Timothy Walker, 42, 3, 2, 1
Ebony Snyder, 47, 4, 5, 1
Lisa Flores, 7, 2, 3, 5
Micheal Wells, 5, 5, 2, 4
Willie Atkinson, 16, 4, 1, 5
Daniel Reynolds, 12, 3, 4, 4
Barbara Cook, 48, 5, 1, 3
Christopher French, 36, 4, 5, 1
Michael Davis, 12, 5, 4, 3
Crystal Foster, 5, 2, 3, 4
Madison Mccormick, 43, 2, 1, 4
Kathryn Johnson, 1, 1, 4, 3
Patricia Haynes, 46, 2, 4, 1
Billy Harvey, 31, 4, 1, 1
Kristine Watson, 1, 5, 3, 2
Robert Boyd, 22, 1, 1, 5
Steven Robertson, 1, 1, 5, 4
Shawn Wiggins, 10, 3, 5, 5
Janice Smith, 28, 3, 3, 4
Michelle Davis, 41, 5, 5, 3
Tara Brown, 9, 4, 5, 1
Jessica Gaines, 4, 1, 1, 1
Adam Hernandez, 34, 5, 2, 1
Amber Hatfield, 11, 5, 4, 5
Makayla Walker, 13, 1, 2, 1
Jamie Harrison, 29, 5, 5, 3
Nathan Torres, 46, 5, 5, 5
Harry Graves, 1, 5, 5, 2
Justin Garcia, 44, 1, 2, 3
Melanie Carson, 31, 2, 3, 1
Peggy Cook, 9, 3, 4, 2
Jonathan Farmer, 31, 5, 4, 5
Karen Miller, 26, 1, 4, 2
Kristen Odom, 44, 3, 5, 3
Jack Myers, 1, 2, 2, 3
Mr. Michael Spencer, 11, 4, 1, 2
Crystal Obrien, 45, 1, 4, 5
Angela Ward, 45, 5, 1, 3
Stephanie Taylor, 16, 3, 5, 1
Denise Wade, 45, 1, 1, 4
Kyle Padilla, 33, 2, 3, 2
Beth Bender, 31, 3, 5, 3
Dawn Rodriguez, 33, 5, 3, 2
Daniel Hoffman, 15, 4, 1, 5
Sabrina Barnett, 42, 5, 4, 5
Charles Wallace, 18, 4, 1, 4
Amber Bautista, 43, 1, 5, 3
Mr. Anthony Johnson PhD, 27, 3, 1, 5
Robert Murphy, 38, 3, 1, 2
Paige Smith, 47, 4, 5, 4
Sylvia Myers, 3, 5, 5, 5
Krystal Arnold, 10, 5, 1, 4
Anthony Brown, 9, 2, 2, 2
Steven Duncan, 31, 5, 3, 2
Philip Rivera, 23, 1, 1, 5
Jeremy Castillo, 25, 2, 2, 3
Edward Payne, 4, 3, 1, 5
Tina Carter, 8, 5, 3, 4
Nicole Webster, 6, 2, 4, 4
Joseph Williams, 25, 2, 1, 2
Angel Pollard, 8, 4, 5, 1
Shelly Mccoy, 11, 1, 4, 5
Abigail Gibson, 10, 5, 5, 1
Luis Clarke, 12, 2, 3, 3
Wendy Stokes, 48, 1, 1, 3
Samantha Barrera, 36, 1, 4, 3
Angela Mitchell, 31, 1, 2, 2
Jason Schwartz, 14, 1, 4, 1
Joel Lucas, 44, 4, 2, 2
Allison Lewis, 31, 1, 1, 2
Ronald Schneider, 13, 1, 1, 1
Danielle Griffith, 15, 4, 4, 4
Victoria Kelley, 37, 4, 5, 4
Cassandra Moore, 45, 3, 1, 4
David Perry, 10, 2, 3, 3
Michelle Wilson, 10, 3, 1, 1
Carrie Myers, 1, 3, 2, 4
James Jackson, 27, 2, 4, 5
Elizabeth Stafford, 32, 2, 5, 4
Erik Goodman, 47, 1, 4, 4
Jeffrey Holmes, 3, 4, 4, 3
Taylor Myers, 32, 4, 3, 4
Stephanie Johnson, 28, 1, 4, 3
Jennifer Tucker, 29, 5, 5, 5
Christopher Bryant, 4, 5, 3, 2
Robert Jones, 31, 3, 2, 2
Marcus Walsh, 12, 5, 4, 2
Amanda Townsend, 5, 5, 1, 4
Joseph Nguyen, 37, 3, 4, 2
Sonia Shaw, 38, 2, 2, 2
Jessica Bell, 1, 2, 1, 4
Carol Lee, 46, 3, 4, 3
John Walters, 21, 4, 4, 5
Kelly Liu, 45, 3, 2, 1
Kelly Obrien, 22, 2, 4, 1
Lauren Hubbard, 30, 1, 1, 4
Richard Adams, 26, 1, 3, 3
Richard Martinez, 25, 3, 4, 4
Matthew Holmes, 17, 1, 2, 4
Michael Allen, 28, 3, 3, 3
Christopher Duncan, 37, 3, 5, 1
Keith Gray, 11, 2, 1, 4
Nicole Jimenez, 46, 1, 2, 5
Cody Anderson, 46, 1, 2, 5
Valerie Orr, 36, 4, 3, 5
Anthony Smith, 14, 5, 3, 2
Lisa Martin, 35, 2, 1, 2
Victor Ruiz, 25, 1, 3, 2
Morgan Garrison, 42, 2, 2, 2
Joshua Church, 21, 4, 4, 1
Michael Cordova, 33, 3, 4, 1
Matthew Patterson, 10, 3, 5, 3
Kevin Hodge, 27, 5, 3, 1
Peter Ramirez, 32, 3, 4, 5
Danielle Osborne, 32, 1, 3, 1
Emily Bridges, 42, 2, 4, 5
Melinda Parker, 42, 5, 1, 3
William Miller, 42, 5, 1, 4
Melissa Moore, 31, 2, 2, 5
Sabrina Wright, 20, 1, 1, 3
Gary Ward, 50, 5, 3, 3
Yolanda Smith, 34, 5, 4, 3
Stephanie Parks, 32, 1, 4, 5
Dennis Gibson, 50, 2, 1, 2
Mark Lopez, 19, 5, 2, 2
Mr. Carlos Harris MD, 21, 1, 2, 5
Jimmy Hughes, 10, 1, 3, 3
Jason Mitchell, 7, 2, 3, 3
Jennifer Ward, 37, 3, 2, 3
Laura Lee, 11, 4, 4, 3
Cameron Lester, 6, 4, 3, 3
Leslie Gutierrez, 25, 5, 4, 3
Michelle Hart, 43, 4, 5, 2
Stephen Calhoun, 14, 1, 1, 5
Adam Coffey, 14, 5, 5, 1
Deborah Miller, 18, 2, 3, 5
Mrs. Crystal Espinoza MD, 11, 3, 5, 3
Jennifer Smith DDS, 27, 4, 1, 2
Nicole James, 34, 2, 1, 3
Morgan Hancock, 3, 2, 4, 2
Beth Carter, 12, 4, 2, 1
Megan Ball, 4, 1, 2, 1
Ashley Mejia, 7, 2, 1, 1
Daniel Fowler, 10, 2, 5, 3
Katie Pierce, 22, 4, 1, 2
Richard Fritz, 15, 2, 1, 4
David Cunningham, 10, 3, 5, 1
Jessica Berry, 47, 4, 5, 3
Alexis Soto, 28, 3, 2, 1
Amanda Powell, 24, 5, 4, 3
Casey Wilson, 40, 3, 3, 1
Brittney Mcdowell, 6, 2, 4, 3
James Mitchell, 10, 2, 3, 1
Jeff Thomas, 42, 1, 1, 3
Jose Hanson, 11, 4, 4, 2
Savannah Davidson, 10, 1, 1, 1
John Santos, 42, 2, 5, 5
Amy Lee, 23, 2, 5, 2
Jennifer Cruz, 30, 5, 2, 3
Sandra Martinez, 22, 4, 4, 4
Matthew Moore, 1, 1, 2, 4
John Stewart, 46, 5, 1, 3
Briana Martin, 29, 4, 2, 1
Alexis Williams, 6, 3, 5, 3
Amy Terrell, 15, 4, 1, 4
Jeffery Goodwin, 17, 4, 1, 3
Dr. Hayley Davis, 12, 5, 1, 5
Joshua Clark, 23, 2, 2, 1
Heather Casey, 8, 2, 1, 1
Nicole Hunter, 14, 1, 5, 5
Tyler Weeks, 17, 1, 2, 1
Lisa Walters, 36, 1, 5, 2
Rodney Gutierrez, 47, 1, 4, 3
Theresa Campbell, 23, 5, 3, 3
Anna Jones, 29, 1, 1, 2
Joy Franklin, 35, 1, 5, 5
Melissa Mendez, 36, 4, 5, 3
Rose Greene, 27, 5, 1, 4
Allison Vargas, 25, 4, 1, 3
Thomas Williams, 33, 4, 5, 3
Kristina Campbell, 27, 4, 1, 2
Thomas Smith, 44, 3, 1, 1
Donna Martin, 29, 1, 3, 2
Tanya Mayo, 47, 2, 3, 3
Heidi Browning, 6, 1, 4, 4
Emily Anderson, 8, 2, 2, 3
Sherri Lewis, 7, 3, 1, 3
Christian Garcia, 16, 2, 4, 3
Benjamin Hahn, 30, 2, 2, 1
Alexandra Baird, 43, 3, 4, 3
Brooke Elliott, 36, 5, 2, 1
Catherine Stevens, 10, 4, 1, 5
Mary Jones, 28, 4, 2, 2
Leslie Salazar, 6, 3, 2, 4
Samuel Best, 15, 5, 5, 2
Richard Henry, 13, 2, 3, 1
Crystal Greene, 37, 3, 3, 4
Kristin Chase, 44, 4, 4, 3
Jennifer Garcia, 29, 2, 1, 2
Lauren Jimenez, 11, 5, 2, 4
Katie Dalton, 27, 2, 4, 1
Jennifer Johnson MD, 43, 1, 2, 5
Robert Montes, 22, 5, 5, 3
Miguel Mcfarland, 20, 5, 1, 4
Brian English, 49, 5, 5, 3
Tanya Lee, 47, 1, 1, 1
Matthew Martin, 49, 2, 3, 1
Lisa Kemp, 4, 4, 2, 2
Samantha Odonnell, 16, 3, 4, 4
Pam Rogers, 34, 3, 1, 1
Maria Summers, 48, 4, 5, 3
Patrick Sanders, 49, 3, 1, 1
Nathan Meyers, 12, 5, 3, 4
Michael Watson, 47, 4, 3, 5
Matthew Jordan, 32, 3, 5, 4
Madison Mccarthy DDS, 22, 5, 4, 1
John Kline, 9, 2, 1, 5
Bryan Bridges, 42, 1, 1, 4
Teresa Edwards, 40, 5, 3, 1
Jennifer Frost, 46, 2, 3, 5
Lisa Lowe, 4, 3, 1, 3
Penny Anderson, 9, 2, 2, 5
Nathaniel Solis, 16, 2, 3, 3
Wendy Fernandez, 14, 5, 3, 5
Gary Short, 8, 3, 2, 2
James Rogers MD, 19, 3, 3, 4
Amber Weaver, 30, 5, 1, 5
Andrew David, 35, 1, 5, 3
Douglas Johnson, 22, 2, 5, 2
Timothy Zhang, 3, 3, 1, 5
Jessica Taylor, 1, 1, 4, 3
Matthew Bennett, 17, 1, 1, 4
Eric Humphrey, 24, 1, 5, 3
Felicia Hudson, 4, 5, 4, 4
Jonathan Webb, 47, 4, 1, 3
Victoria Ball, 11, 3, 5, 1
Ashley Jordan, 15, 2, 4, 3
Daniel Harris, 32, 2, 2, 3
Paige Bradley, 50, 2, 2, 2
Beverly Campbell, 39, 1, 4, 4
Amber Washington, 13, 5, 5, 4
Philip Rogers, 19, 1, 2, 3
Michael Roberts, 28, 4, 3, 4
April Mccoy, 16, 4, 4, 5
Kyle Kim, 18, 4, 5, 3
Christopher Baker, 50, 2, 1, 3
Donald Davis, 10, 2, 1, 4
Margaret Bruce, 8, 3, 1, 3
Anthony Anderson, 23, 2, 4, 2
Angela Smith MD, 44, 5, 3, 3
Marilyn Wiley, 50, 2, 3, 4
Daniel Allen, 18, 5, 5, 1
Breanna Tran, 42, 3, 5, 4
Carolyn Smith, 6, 1, 5, 2
Sheri Hanson, 13, 2, 3, 2
David Rollins, 43, 1, 4, 2
Daniel Fritz, 29, 5, 3, 2
Sarah Henderson, 21, 1, 2, 3
Anthony Villa, 4, 1, 1, 1
Mr. Tanner Ellis, 38, 2, 1, 1
Kevin Watson, 17, 3, 2, 5
Mrs. Debra Hernandez, 7, 4, 5, 5
Todd Powell, 41, 1, 1, 1
Steven Martinez, 2, 5, 5, 1
Maria Kerr, 48, 1, 4, 1
Gabriel Wells, 32, 4, 1, 2
Michael Herrera, 11, 3, 4, 2
Amanda Warner, 10, 1, 2, 5
Ryan Griffin, 11, 3, 5, 1
Jerry Washington, 2, 3, 2, 5
Deborah West, 8, 2, 3, 4
Julie Miller, 13, 2, 2, 2
Lori Dixon, 24, 4, 3, 3
Allen Lee, 26, 4, 3, 1
Tiffany Contreras, 39, 5, 2, 1
David Williams, 41, 5, 1, 5
Michael Sanders, 4, 5, 4, 2
John Ramirez, 15, 2, 1, 1
Willie Cunningham PhD, 6, 1, 5, 1
Alexander Hernandez, 9, 2, 3, 1
Nathan Oconnor, 37, 3, 4, 1
Jacob Ferguson, 31, 4, 5, 4
Ian Simmons, 23, 5, 2, 1
Kathy Jordan, 24, 4, 3, 1
Laura Baker, 10, 4, 5, 5
Thomas Murphy, 50, 2, 5, 2
Kristy Valencia, 8, 4, 1, 5
Jeffrey Mcdonald MD, 14, 2, 2, 1
Crystal Kramer, 8, 4, 2, 3
Richard Gomez, 42, 2, 2, 2
Clayton Reeves, 29, 4, 5, 1
Ryan Bennett, 24, 2, 4, 4
Donald Fuentes, 12, 2, 2, 5
Sara Palmer, 4, 3, 3, 3
Sherry Hendrix, 32, 2, 4, 5
Nicholas Murphy, 33, 4, 1, 3
Angela Potter, 49, 2, 2, 5
Karen Morgan, 43, 2, 2, 2
Kyle Duncan, 5, 1, 1, 2
Laura Martin, 48, 4, 2, 4
Anna Stark, 49, 1, 4, 4
William Duarte, 21, 1, 4, 3
Joseph Jenkins, 35, 3, 1, 1
Tony Dean, 45, 2, 5, 4
James Marshall, 31, 2, 5, 4
Casey Wilson, 5, 2, 5, 4
Joel West, 32, 2, 2, 2
Craig Day, 12, 4, 1, 3
Stephanie Lawson, 12, 2, 1, 2
Alexander Hendricks, 31, 1, 1, 3
Crystal Bauer, 5, 3, 2, 3
Hailey Brown, 15, 2, 1, 4
Justin Berry, 9, 4, 5, 2
George Jones, 50, 1, 5, 4
Jane Rose, 16, 5, 1, 5
Jodi Johnson, 13, 4, 3, 2
George Gray, 49, 3, 1, 3
Gary Aguilar, 26, 2, 3, 1
Timothy Stone, 45, 3, 4, 4
Jason Olsen PhD, 29, 5, 2, 2
Chad Fitzgerald, 50, 2, 4, 1
Travis Thompson, 36, 3, 4, 5
Jessica Walter, 48, 5, 4, 3
Christopher Wright, 15, 5, 1, 5
Angela Robles, 19, 3, 1, 1
William Scott, 4, 2, 5, 5
Joseph Mendez, 1, 2, 2, 1
Steven Phillips, 16, 4, 4, 1
Gabrielle Cisneros, 40, 2, 5, 3
Laura Cannon, 37, 4, 3, 5
Colleen Villa, 34, 4, 1, 1
Deborah Bell, 33, 2, 2, 1
Tonya Morris, 45, 1, 1, 5
Jennifer Curry, 7, 1, 2, 1
Andrew Stewart, 20, 1, 5, 3
Hayden Stewart, 19, 1, 1, 3
Debra King, 33, 3, 2, 4
Elizabeth Cantrell, 6, 4, 5, 5
Ronald Brown, 12, 4, 2, 1
Miss Samantha Hudson, 8, 2, 4, 2
Jennifer Becker, 10, 4, 3, 4
Lisa Ellis, 41, 1, 5, 3
Danielle Howard, 43, 2, 4, 2
Kent Park, 10, 5, 1, 1
Jordan White, 22, 2, 3, 2
April Cook, 49, 3, 1, 4
Brent Marshall, 14, 3, 5, 5
Susan Hill, 32, 5, 5, 1
Frances Miller, 22, 5, 3, 2
April Suarez, 27, 5, 3, 3
Steve Jackson, 48, 3, 1, 2
Carlos Parks, 15, 4, 5, 5
David Ortega, 17, 4, 5, 5
Betty Clark, 18, 3, 2, 5
Jesse Gomez, 10, 4, 4, 1
Danny Finley, 46, 4, 5, 1
Harry Coleman, 47, 2, 4, 1
Melissa Freeman, 6, 3, 2, 2
Tyler Morris, 38, 5, 3, 2
Elizabeth Chase, 1, 2, 2, 4
Patrick Pierce, 43, 2, 1, 1
Miguel Campbell, 40, 5, 4, 5
Melissa Williams, 42, 3, 5, 5
Noah Wilson, 20, 5, 5, 2
Jeffrey Santiago, 7, 3, 1, 2
Brandi Martin, 49, 2, 3, 5
Angela Bowen, 1, 5, 4, 2
Hayden Levy, 9, 5, 4, 2
Zachary Holland, 36, 5, 3, 2
Matthew Small, 28, 4, 5, 4
Amber David, 30, 3, 2, 3
Marvin Johnson, 43, 1, 5, 5
Nancy Boyd, 5, 5, 2, 4
Michael Wiggins, 33, 2, 1, 3
Jasmine Gardner MD, 38, 5, 2, 4
Joshua Harding, 10, 1, 4, 4
John Elliott, 39, 3, 2, 2
Alexandria Oliver, 21, 2, 4, 1
Michael Wright, 5, 1, 4, 5
Kathryn Walker, 5, 3, 1, 3
Matthew Miller, 41, 4, 4, 5
John Taylor MD, 21, 1, 1, 5
Emily Richards, 30, 2, 2, 2
Jessica Hernandez, 44, 2, 1, 1
Michael Parker, 42, 3, 3, 2
Richard Benson, 32, 3, 5, 3
Sarah Sparks, 11, 3, 1, 1
Whitney Walters, 33, 3, 4, 1
Charles Callahan, 38, 3, 1, 1
Nancy West, 18, 5, 1, 2
Eric Barnes, 31, 5, 5, 4
Debbie Rivera, 29, 5, 5, 2
Wesley Hansen, 18, 4, 5, 3
Bobby Anderson, 6, 5, 1, 3
Randall Decker, 39, 3, 5, 4
David Banks, 35, 4, 3, 5
Rebecca Brown, 8, 1, 1, 4
Laura Key, 47, 1, 3, 2
Timothy West, 45, 2, 4, 1
Tami Callahan, 2, 1, 4, 1
Angela Ortiz, 22, 3, 1, 2
Randy Underwood, 50, 5, 2, 2
Erin Davenport, 43, 5, 5, 1
Jennifer Davis, 4, 3, 3, 4
Deborah Stone, 50, 5, 1, 3
Elizabeth Evans, 18, 2, 1, 3
James Hicks, 9, 1, 3, 5
Heidi Mccann, 45, 3, 4, 3
Barry Thomas, 39, 2, 3, 3
Debbie Webb, 38, 5, 3, 3
Stephanie Giles, 48, 4, 1, 3
Andrew Simmons, 15, 3, 3, 1
Nicholas Moreno, 50, 5, 4, 1
Arthur Harris, 21, 4, 1, 4
Jerry Thomas, 4, 1, 5, 2
Nicole Logan, 11, 4, 1, 2
Jessica Todd, 28, 4, 5, 1
Brandon Russell, 29, 4, 4, 5
Brandon Riley, 50, 5, 4, 1
Steven Adams, 38, 4, 1, 3
Sylvia Garcia, 50, 5, 1, 2
Stephanie Grant, 36, 2, 2, 5
Jennifer Kline, 43, 5, 2, 2
Brett Smith, 37, 2, 4, 4
Mary Faulkner, 26, 1, 3, 4
Michael Phillips, 21, 3, 4, 5
Jessica Smith, 9, 5, 1, 2
Shane Mills, 43, 1, 3, 1
Phillip Woods, 8, 4, 5, 5
John Saunders, 48, 3, 4, 3
Catherine Scott, 26, 3, 3, 5
Tanya Martinez, 35, 5, 3, 4
Robert Murray, 45, 2, 1, 1
Wesley Thompson, 7, 3, 2, 5
Christopher Berger, 41, 5, 5, 5
Kelly Diaz, 4, 1, 4, 3
Gwendolyn Huang, 36, 3, 1, 4
Rebecca Shelton, 4, 4, 4, 1
Julia Perez, 36, 5, 1, 3
Andres Johnson, 30, 5, 4, 1
Katie Baldwin, 39, 3, 1, 1
Joseph Montes, 29, 3, 3, 4
Mary Nixon, 44, 4, 4, 3
Victoria Turner, 21, 3, 2, 3
Dalton Peterson DDS, 19, 5, 5, 1
Lauren Howell, 27, 1, 2, 2
Laura Fletcher, 44, 1, 1, 4
Frederick Andrade, 28, 1, 2, 5
Thomas Fitzgerald, 38, 5, 4, 3
Mark Andrews, 36, 5, 2, 4
Darius Thompson, 29, 1, 2, 3
Mrs. Christina Brooks DVM, 12, 1, 3, 2
Cassandra Villegas, 50, 3, 3, 1
Gabriella Wright, 21, 5, 1, 3
Jennifer Lopez, 30, 1, 2, 3
Elizabeth King, 3, 4, 5, 2
Christina Morris, 48, 2, 1, 2
Isabel Meadows, 41, 1, 2, 1
Sophia Baker, 13, 5, 3, 3
Tami Davis, 8, 5, 3, 1
Sarah Brooks, 33, 2, 4, 2
Patrick Davidson, 4, 1, 1, 4
Marcus Valdez, 23, 3, 2, 2
Gregory Morales, 29, 1, 5, 2
Holly Price, 35, 4, 2, 5
Tammy Wolf, 11, 4, 2, 2
Anne Shelton, 16, 5, 1, 5
Randy Hubbard, 12, 2, 3, 5
Mark Horton, 37, 5, 1, 5
Felicia Sullivan, 9, 3, 4, 1
Christopher Ali, 15, 2, 5, 4
Ryan Ford, 6, 1, 4, 1
Jacqueline Sullivan, 34, 5, 2, 5
Debra Anderson, 23, 4, 5, 3
Jennifer Collins, 40, 1, 2, 5
Thomas Sims, 12, 3, 5, 3
Shawn Gentry, 40, 4, 1, 1
James Thomas, 17, 4, 3, 2
John Howell, 14, 5, 3, 3
Justin Hall, 17, 5, 4, 4
Brandon Dillon, 12, 2, 3, 4
Dorothy Garrison, 50, 4, 1, 3
Karen Wilson, 6, 4, 5, 2
Victor Curry, 43, 3, 4, 5
Micheal White, 12, 4, 5, 5
Jessica Ruiz, 42, 2, 5, 1
Darryl Banks, 7, 3, 4, 3
Adam Walker, 36, 5, 2, 4
Keith Gonzalez, 28, 3, 5, 4
Kristin Phillips, 22, 5, 5, 4
Stephen Smith, 31, 4, 2, 5
Ann Davidson, 27, 3, 3, 1
Robin Wilson, 39, 3, 1, 5
Maria Guerrero, 8, 1, 1, 5
Hannah Hodges, 48, 3, 5, 5
Thomas Marks, 11, 5, 1, 5
Desiree Gonzalez, 30, 1, 4, 5
Ethan Hunter, 39, 1, 1, 3
Daniel Webb, 24, 5, 5, 1
Jesus Baker, 19, 3, 4, 3
Richard Small, 6, 4, 1, 1
Erica Herman, 19, 5, 3, 3
Karen Williams, 47, 5, 4, 5
Sarah Simmons, 40, 3, 4, 4
Jack Walker, 38, 2, 4, 4
David Randall, 46, 5, 3, 4
Kelli Kline, 49, 1, 4, 2
Nicole Hutchinson, 49, 1, 5, 3
Dylan Johns, 19, 4, 2, 2
Danielle Romero, 42, 3, 4, 5
David Sanders, 16, 1, 4, 5
Patrick Smith, 16, 5, 5, 5
Tim Klein, 47, 5, 2, 3
Melissa Wilson, 12, 3, 2, 1
Connie Barnes, 39, 4, 2, 1
Heather Mosley, 27, 4, 4, 5
Wesley Terry, 36, 4, 1, 4
Maria Moore, 28, 5, 4, 5
Jennifer Contreras, 3, 1, 4, 3
Brandon Smith, 30, 1, 2, 2
Gregory Ryan, 45, 5, 4, 1
Tara Bird, 16, 1, 5, 4
Annette Benitez, 2, 1, 3, 4
Mike Moore, 25, 3, 2, 2
Christopher Bryant, 48, 5, 1, 5
Veronica Phelps, 34, 2, 1, 4
Jeffrey Mccarthy, 32, 3, 3, 4
Jennifer Martinez, 48, 4, 4, 5
Rebecca Watts, 17, 2, 3, 5
Chad Ferguson, 13, 1, 5, 3
Deanna Patterson, 9, 4, 3, 1
Shaun Shelton, 17, 2, 4, 5
Mark Morris, 39, 5, 2, 5
Suzanne Brooks, 2, 2, 1, 5
Deanna Black, 29, 4, 2, 3
Christopher Adams, 34, 1, 2, 2
Stephanie Parker, 36, 2, 3, 2
Willie Murray, 2, 1, 3, 4
Kimberly Rivera, 37, 4, 2, 2
Stephen Ellis, 44, 2, 5, 4
Chad Curtis, 40, 1, 4, 5
Logan Smith, 15, 1, 4, 2
Michael Cohen, 29, 1, 2, 2
Justin Wright, 44, 2, 4, 3
Marisa Glass, 15, 4, 3, 3
Travis Hernandez, 39, 4, 3, 3
Kayla Rice, 10, 5, 2, 5
Janet Mosley, 19, 2, 1, 2
Jerry Reed, 31, 3, 2, 2
Mark Jackson, 11, 2, 4, 5
Rachel Suarez, 7, 3, 3, 2
Susan Martin, 39, 1, 1, 1
Luis Young, 49, 2, 4, 2
Paul Brown, 21, 3, 2, 4
Tammy Campbell DDS, 25, 3, 2, 2
Michael Wilson, 48, 1, 4, 4
Tyler Warren, 37, 2, 3, 4
Lisa Peterson, 19, 5, 3, 2
Christopher Williams, 36, 5, 3, 2
Richard Lewis, 2, 3, 2, 5
Daniel Brooks, 4, 5, 1, 2
John Wu, 8, 5, 5, 4
Mr. Michael Phillips, 49, 4, 4, 1
Joann Stuart, 6, 4, 3, 1
Anthony Rodriguez, 36, 1, 2, 2
Amanda Perry, 36, 3, 1, 4
Michelle Smith, 45, 3, 4, 4
Erik Wong, 29, 2, 1, 1
Mitchell Malone, 50, 1, 1, 1
Joseph Wheeler, 17, 4, 1, 2
Gregory Durham, 16, 2, 2, 2
Patricia Gonzalez, 8, 1, 2, 2
Mark Flores, 33, 4, 2, 5
Priscilla Meyer, 28, 5, 4, 4
Douglas Rodriguez, 43, 2, 2, 1
Tina Bowen, 37, 5, 3, 3
Emily Pham, 42, 3, 3, 3
Julie Torres, 12, 4, 4, 5
James Reese, 22, 5, 2, 5
Meagan Hodge, 1, 4, 4, 2
Michelle Jones, 36, 1, 3, 3
Leslie Perez, 5, 3, 5, 5
Scott Bates, 36, 3, 1, 3
Susan Davidson, 31, 3, 1, 5
Samantha Mckinney, 16, 5, 3, 4
Kevin Hall, 28, 2, 3, 3
Kristen Swanson, 40, 5, 5, 1
Richard Carter, 9, 3, 5, 2
Zachary Smith, 27, 4, 1, 4
Courtney Clements, 32, 3, 1, 3
Johnny Smith, 36, 2, 1, 1
Sean Garza, 42, 4, 1, 4
Nicholas Moon, 22, 4, 5, 1
Jon Thompson, 2, 4, 1, 3
Gregory Bowen, 42, 1, 5, 2
Robin Garcia, 15, 1, 1, 4
Megan Golden, 11, 3, 4, 1
Richard Powell, 45, 5, 2, 4
Ashley Robinson, 23, 3, 5, 2
Eric Terry, 37, 3, 5, 3
Lisa Bowen, 39, 2, 2, 3
Peggy Sullivan, 10, 4, 5, 1
Bruce Ortega, 37, 3, 2, 1
